Engleza,Romana
Tom should get going.,Tom ar trebui să continue.
My father loves pizza.,Tatălui meu îi place pizza foarte mult.
Tom thinks I'm always putting myself in danger.,Tom crede că eu mereu mă expun pericolului.
Are you getting paid for this?,Sunteți plătite pentru asta?
Where's the nearest telephone booth?,Unde este cea mai apropiată cabină telefonică?
I'm worried about your health.,Mă îngrijorează sănătatea ta.
I'm taking a bath.,Fac baie.
I need to get one.,Am nevoie să iau una.
They set out for London.,Ei se îndreaptă către Londra.
Life is interesting.,Viața este interesantă.
Tom took one for the team.,Tom luă unul pentru echipă.
Nobody wants it.,Nimeni nu-l dorește.
They are both good teachers.,Ei amândoi sunt profesori buni.
The only fingerprints that the police found on the doorknob were Tom's.,Singurele amprente pe care poliția le-a găsit pe clanță sunt ale lui Tom.
She's the breadwinner in this family.,Ea este cea care câștigă pâinea în familia aceasta.
Tom wished he had been more careful.,Tom îşi dorea să fi fost mai atent.
"Back in high school, I got up at 6 a.m. every morning.","Pe când eram la liceu, mă sculam la 6 în fiecare dimineață."
What did Tom just do?,Ce a făcut Tom chiar acum?
They had some.,Ei au servit ceva.
Tom looks tired.,Tom pare obosit.
It was very kind of you to lend me an umbrella.,A fost foarte drăguț din partea ta să-mi împrumuți o umbrelă.
They embraced tightly.,Ei s-au îmbrățișat strâns.
The lake is big.,Lacul este mare.
Tom is still not talking to Mary.,Tom încă nu vorbeşte cu Mary.
What languages do they speak in Belgium?,Ce limbi se vorbesc în Belgia?
We discussed the matter with each other.,Am discutat problema între noi.
I had to work hard when I was young.,Când eram tânăr a trebuit să muncesc mult.
We have a big supermarket.,Noi avem un supermarket mare.
Tom said he wasn't happy here.,Tom a spus că nu a fost fericit aici.
She was disappointed in love.,Ea a fost dezamăgită în dragoste.
I was in disbelief.,Eram în dubiu.
I will do my best in everything.,Îmi voi da silinţa în toate.
Tom doesn't believe the rumors about Mary.,Tom nu crede în zvonurile despre Mary.
It could be beneficial.,Ar putea fi benefică.
I'd prefer to die rather than see you crying.,Prefer să mor decât să te văd plângând.
I guess I'm not as smart as you.,Presupun că nu sunt la fel de inteligent ca tine.
Tom doesn't know why Mary doesn't eat meat.,Tom nu știe de ce Mary nu mănâncă carne.
I'm looking forward to watching the movie with her.,Aștept cu nerăbdare să văd filmul cu ea.
"Tom is eating, isn't he?","Tom mănâncă, nu-i așa?"
"Tom is about the same age as you, I suppose.",Presupun că Tom este de aproximativ aceeași vârstă cu tine.
I had a very high fever.,Am avut o febră foarte mare.
That song was very popular three years ago.,Acel cântec a fost foarte popular acum trei ani.
"I owe you 3,000 yen.",Îţi sunt dator cu 3.000 de yeni.
What relation is she to you?,În ce grad de rudenie ești cu ea?
I couldn't help laughing at his joke.,Nu m-am putut abține să nu râd la gluma lui.
We have carried on a correspondence for years.,Am continuat să corespondăm ani de zile.
I still have things left to do.,Încă mai am lucruri rămase de făcut.
Tom told us not to worry.,Tom ne-a spus să nu ne îngrijorăm.
He is a good loser.,E un bun perdant.
Please wake me up at six tomorrow.,Te rog să mă trezești mâine la șase.
I am so sick.,Sunt tare bolnav.
I am undressing.,Mă dezbrac.
Mary doesn't have a husband.,Mary nu are soț.
The towel is dry.,Prosopul este uscat.
Tom is a very thoughtful person.,Tom este o persoană foarte grijulie.
Please come and help me.,"Te rog, vino să mă ajuți."
Give me your money.,Dă-mi banii tăi.
Everyone has strengths and weaknesses.,Toți au atât puncte forte cât și puncte slabe.
This is the letter for my friend.,Asta este scrisoarea pentru prietenul meu.
We really like picnics a lot.,Nouă chiar ne plac picnicurile mult.
Don't come back.,Nu te întoarce.
I wish I were rich.,Aș dori să fiu bogat.
I don't live in Finland.,Nu locuiesc în Finlanda.
What Tom says is true.,Ceea ce spune Tom este adevărat.
Weren't you tired?,Nu ai fost obosită?
I have two books.,Am două cărți.
I want to be consistent and fair.,Vreau să fiu consecvent și corect.
I have a farm not far from here.,Am o fermă nu prea departe de aici.
You were right.,Aveai dreptate.
I heard yelling.,Am auzit (pe cineva) țipând.
The progress of civilization is very rapid.,Progresul civilizației este foarte rapid.
"Is she coming, too?",Vine și ea?
My arm is hurting badly.,Mă doare braţul rău.
He has a good knowledge of French.,El are o bună cunoaștere a francezei.
You should pay more attention to your own safety.,Ar trebui să fii mai atent cu propria siguranţă.
The cat which you found is mine.,Pisica pe care ai găsit-o e a mea.
People are very nice here.,Oamenii sunt foarte drăguți aici.
I can't concentrate if you keep tapping me on the shoulder.,Nu mă pot concentra dacă mă tot bați pe umăr.
She's in a depression.,Ea e în depresie.
May comes after April.,După luna aprilie vine mai.
He tried to be brave while he was being held hostage.,A încercat să fie curajos în timp ce era ţinut ostatic.
I like jazz.,Îmi place jazzul.
You must bring your passport with you to the bank.,Tu trebuie să aduci cu tine la bancă pașaportul tău.
I slept a little during lunch break because I was so tired.,Am dormit un pic în timpul pauzei de prânz pentru că eram foarte obosit.
Tom has been living in Boston for almost ten years.,Toma a trăit în Boston pentru aproape zece ani.
Tom's shy.,Tom e timid.
He has money.,E în bani.
Did Tom meet the criteria for passing this class?,A îndeplinit Tom criteriile pentru a trece această clasă?
This sounds about right.,Sună bine.
Tom hates spinach.,Tom urăște spanacul.
Tom left Mary a message.,Tom i-a lăsat lui Mary un mesaj.
That was a colossal waste of time.,A fost o pierdere enormă de timp.
"To tell the truth, she is my niece.","Ca să-spun adevărul, ea este nepoata mea."
Tell Tom to wait.,Spune-i lui Tom să aștepte.
Tom didn't seem to be sick.,Tom nu părea că este bolnav.
He came down with a cold.,S-a trezit cu o răceală.
Tom was bullied when he was a kid.,Tom a fost hărțuit când a fost copil.
You're not guilty.,Nu ești vinovat.
This novel bores me.,Acest roman mă plictisește.
He is not dumb.,Nu e prost.
Make a sentence with each of these words.,Formează câte o propoziție cu fiecare dintre aceste cuvinte.
That's my idea.,Asta e ideea mea.
The house was surrounded by fields.,Casa era înconjurată de lanuri.
"Anyway, I don't like it.","În orice caz, nu-mi place."
Keep in touch.,Ținem legătura.
What do you intend to do with the money?,Ce ai de gând să faci cu banii?
She kept on working.,Ea continua să muncească.
Will you check the tires?,Vei verifica anvelopele?
Please let go of my arm.,Te rog dă-mi drumul la mână.
The engineers blew up the bridge because it was about to collapse.,Inginerii au aruncat podul în aer pentru că era gata să se prăbuşească.
You should ask Tom to do that.,Ar trebui să-i ceri lui Tom să facă asta.
I knew this was too good to be true.,Am știut că asta era prea bună că să fie adevărată.
My father got married in his twenties.,Tatăl meu s-a căsătorit când avea douăzeci și ceva de ani.
Tom hopes to get the job done by 2:30.,Tom speră să-și fi terminat treaba până la 02:30.
He hastily packed his bags.,El și-a făcut bagajele în grabă.
Please wait half an hour.,Te rog să aștepți o jumătate de oră.
I want to leave Paris.,Vreau să părăsesc Parisul.
Tom joined the Marine Corps.,Tom s-a alăturat infanteriei marine.
That's a fake.,Asta e falsă.
Shampoo and toothpaste are the same price.,Șamponul și pasta de dinți sunt la același preț.
We ask the teacher questions every day.,Noi îi punem întrebări profesorului în fiecare zi.
It's no longer necessary.,Nu mai este necesar.
The function was canceled.,Funcția a fost anulată.
The teacher demonstrated the idea with an experiment.,Profesorul și-a demonstrat ideea cu ajutorul unui experiment.
I don't like his affected manner of speaking.,Nu-mi place felul său prețios de a vorbi.
He came to see you right after you left.,El a venit să te vadă imediat după ce plecasei.
Divorce is becoming more common nowadays.,Divorțul a devenit mult mai întâlnit în zilele noastre.
Tom is still in good health.,Tom are în continuare o sănătate bună.
Please give me a glass of water.,Te rog dă-mi un pahar de apă.
Should we go someplace?,Ar trebui să mergem undeva?
You can't be at two places at once.,Nu poți fi în două locuri deodată.
Where can I find an ATM?,Unde pot găsi un bancomat?
Keep your classroom clean.,Păstrați-vă clasa curată.
I can easily read Spanish.,Pot citi cu uşurinţă în spaniolă.
He cannot stop me.,El nu mă poate opri.
Do you get paid for this?,Ești plătit pentru asta?
It's a bad omen.,Este un semn rău.
We've got plenty of time.,Avem mult timp.
Tom accepted our offer and joined our company.,Tom a acceptat oferta noastră și s-a alăturat companiei noastre.
My brother would often stay up all night.,Fratele meu ar sta deseori treaz toată noaptea.
Tom doesn't like studying.,Lui Tom nu-i place să studieze.
The odds are in Tom's favor.,Șansele sunt în favoarea lui Tom.
This is for your benefit.,Acest lucru este spre binele tău.
I don't know.,Nu știu!
Most students carry backpacks to school.,Cei mai mulți elevi se duc la școală cu ghiozdane.
I was very thirsty and I wanted to drink something cold.,Îmi era tare sete și am vrut să beau ceva rece.
I can't drink alcohol.,Nu pot să beau alcool.
"If you come across an unfamiliar word, look it up in your dictionary.","Dacă dai peste un cuvânt necunoscut, caută-l în dicționar."
Take your umbrella with you.,Ia-ți umbrela cu tine.
I'm not usually this inept.,"De obicei, nu sunt atât de neîndemânatic."
He adopted the orphan.,El l-a adoptat pe orfan.
Tom shot at Mary.,Tom a tras în Mary.
Who will help me?,Cine mă va ajuta?
Are you listening?,Mă asculţi?
Adopting a low calorie diet will increase your lifespan.,"Adoptarea unei diete cu conținut scăzut de calorii, vă va crește durata de viață."
Do you have change for a dollar?,Puteți să-mi schimbați un dolar în mărunțiș?
The boy crammed all his clothes into the bag.,Băiatul și-a înghesuit toate hainele în geantă.
Tom will be at the party tonight.,Tom va fi la petrecere diseară.
Who were you talking to?,Cu cine ai vorbit?
I went to school yesterday.,Am mers la școală ieri.
They bought a car.,Ei au cumpărat o mașină.
Tom ought to know better at his age.,La vârsta lui Tom ar trebui să știe mai bine.
Tom considers himself lucky.,Tom se consideră norocos.
North Korea decided the time was right to invade.,Coreea de Nord a decis că timpul e potrivit pentru a invada.
"We liked the food, especially the fish.","Ne place mâncarea, în special peștele."
Preventive measures are much more effective than the actual treatment.,Măsurile preventive sunt mult mai eficiente decât tratamentul concret.
You're in a good mood today. Did something nice happen?,"Astăzi, starea ta de spirit este bună. S-a întâmplat ceva frumos?"
That is our father.,Acela este tatăl nostru.
Nobody likes bad news.,Nimănui nu-i place veștile proaste.
I remembered it.,Mi-am adus aminte.
Tom doesn't doubt Mary's ability to do the job.,Tom nu se îndoiește de abilitatea lui Mary de a face lucrarea.
Tom was liked by everybody.,Tom era plăcut de oricine.
Let me show it to you.,Să ți-o arăt.
You're a hard man to please.,Ești un om greu de mulțumit.
The weather was terrible.,Vremea a fost groaznică.
Swimming here is very dangerous.,Înnotul aici este foarte periculos.
Let's finish the job.,Hai să terminăm treaba.
It's not possible to wait.,Nu e posibil să aștepți.
"We need to invest in clean, renewable energy.",Trebuie să investim în energie verde și regenerabilă.
These trousers are too large.,Pantalonii aceștia sunt prea mari.
Aladdin found a magic lamp.,Aladdin a găsit o lampă fermecată.
